year,month,tmean
1962,8,25.44444444
1962,9,21.05555556
1962,10,17.11111111
1962,11,8.611111111
1962,12,2.5
1963,1,-0.5
1963,2,1
1963,3,11.83333333
1963,4,16.77777778
1963,5,19.22222222
1963,6,23.88888889
1963,7,24.88888889
1963,8,25
1963,9,21.05555556
1963,10,17.94444444
1963,11,9.555555556
1963,12,-1.222222222
1964,1,3.111111111
1964,2,3
1964,3,9.555555556
1964,4,16.66666667
1964,5,20.33333333
1964,6,24.22222222
1964,7,25.16666667
1964,8,24.38888889
1964,9,21.38888889
1964,10,13.5
1964,11,11
1964,12,5.5
1965,1,4.666666667
1965,2,4.166666667
1965,3,5.777777778
1965,4,17.11111111
1965,5,21.44444444
1965,6,23.5
1965,7,25.33333333
1965,8,24.94444444
1965,9,22.27777778
1965,10,14.22222222
1965,11,11.44444444
1965,12,6.166666667
1966,1,0.5
1966,2,5.055555556
1966,3,9.777777778
1966,4,14.88888889
1966,5,18.22222222
1966,6,22.55555556
1966,7,26.83333333
1966,8,23.83333333
1966,9,20.77777778
1966,10,13.22222222
1966,11,10.38888889
1966,12,4.555555556
1967,1,4.666666667
1967,2,2.944444444
1967,3,12.77777778
1967,4,17.83333333
1967,5,18.22222222
1967,6,23.61111111
1967,7,23.33333333
1967,8,22.22222222
1967,9,19.27777778
1967,10,14.77777778
1967,11,7.277777778
1967,12,6.444444444
1968,1,1.555555556
1968,2,0.888888889
1968,3,8.666666667
1968,4,15.5
1968,5,18.72222222
1968,6,23.77777778
1968,7,25.33333333
1968,8,26.11111111
1968,9,20.5
1968,10,14.88888889
1968,11,9.166666667
1968,12,3.611111111
1969,1,2.944444444
1969,2,4.5
1969,3,5.444444444
1969,4,15.77777778
1969,5,19.38888889
1969,6,24
1969,7,27.5
1969,8,24.22222222
1969,9,20.94444444
1969,10,15.11111111
1969,11,7.722222222
1969,12,2.888888889
1970,1,-0.5
1970,2,3.777777778
1970,3,8
1970,4,16.22222222
1970,5,20.11111111
1970,6,22.55555556
1970,7,24.16666667
1970,8,25.55555556
1970,9,23.88888889
1970,10,14.88888889
1970,11,7.777777778
1970,12,6.722222222
1971,1,2.888888889
1971,2,3.722222222
1971,3,6.888888889
1971,4,14.55555556
1971,5,16.83333333
1971,6,24.61111111
1971,7,24.44444444
1971,8,23.72222222
1971,9,22.55555556
1971,10,18.61111111
1971,11,8.888888889
1971,12,8.833333333
1972,1,4.611111111
1972,2,4.777777778
1972,3,9.722222222
1972,4,16.11111111
1972,5,19.11111111
1972,6,22.5
1972,7,24.44444444
1972,8,24.72222222
1972,9,23.27777778
1972,10,14.72222222
1972,11,7.333333333
1972,12,4.444444444
1973,1,2.388888889
1973,2,3.944444444
1973,3,13.27777778
1973,4,13.72222222
1973,5,17.66666667
1973,6,24.38888889
1973,7,25.88888889
1973,8,24.33333333
1973,9,23.16666667
1973,10,17.33333333
1973,11,11.38888889
1973,12,4.833333333
1974,1,6.5
1974,2,5.388888889
1974,3,12.77777778
1974,4,14.83333333
1974,5,19.94444444
1974,6,21.22222222
1974,7,25.33333333
1974,8,24.33333333
1974,9,18.83333333
1974,10,13.77777778
1974,11,9.222222222
1974,12,4.5
1975,1,5.333333333
1975,2,5.666666667
1975,3,7.777777778
1975,4,14
1975,5,20.55555556
1975,6,23.66666667
1975,7,24.83333333
1975,8,25.05555556
1975,9,19.27777778
1975,10,15.66666667
1975,11,9.944444444
1975,12,4.833333333
1976,1,1.277777778
1976,2,9.166666667
1976,3,12.38888889
1976,4,15.05555556
1976,5,16.05555556
1976,6,22.22222222
1976,7,24.88888889
1976,8,23.22222222
1976,9,20.22222222
1976,10,11.72222222
1976,11,4.388888889
1976,12,2.277777778
1977,1,-4.555555556
1977,2,3.833333333
1977,3,12.11111111
1977,4,16.83333333
1977,5,21.22222222
1977,6,24.27777778
